,Fz,C3,Cz,C4,Pz,PO7,Oz,PO8,DT
219,13133.48,11385.55,15989.34,14259.25,17747.64,9916.268,9811.898,13209.13,0.8843769999999991
220,12977.24,11297.02,16063.15,14399.04,17750.92,9832.997,9766.789,13030.13,0.889377999999999
221,12820.01,11204.18,16123.0,14523.1,17743.77,9750.535,9718.125,12852.01,0.897964999999999
222,12660.79,11107.68,16171.08,14632.92,17725.38,9670.136,9670.093,12672.99,0.902956999999999
223,12498.39,11008.63,16208.07,14730.56,17695.13,9585.755,9618.146,12490.2,0.905382999999999
224,12331.8,10905.33,16233.44,14816.43,17653.39,9494.023,9558.574,12303.17,0.912424999999999
225,12162.6,10796.65,16246.46,14889.11,17602.22,9398.403,9493.605,12114.79,0.9124299999999991
226,11993.23,10683.79,16247.48,14947.93,17543.14,9301.886,9425.862,11927.48,0.9143799999999991
227,11822.66,10567.6,16238.5,14995.09,17474.61,9202.29,9354.813,11739.58,0.9169559999999991
228,11647.88,10448.15,16220.94,15033.0,17394.83,9097.509,9279.393,11548.23,0.9193819999999991
229,11469.79,10326.11,16193.27,15060.39,17305.92,8989.665,9199.311,11354.53,0.9469619999999992
230,11291.97,10202.09,16153.83,15074.72,17211.46,8881.681,9114.983,11161.96,0.9719629999999991
231,11113.96,10075.09,16104.91,15077.55,17110.36,8773.044,9028.612,10969.9,0.9749939999999991
232,10932.76,9944.411,16049.61,15072.76,16998.76,8661.563,8942.018,10774.79,0.9749979999999991
233,10749.37,9811.892,15986.4,15059.84,16877.68,8547.299,8852.961,10577.62,0.9769579999999992
234,10568.19,9679.477,15911.98,15034.86,16752.05,8432.848,8758.804,10383.42,0.9793739999999992
235,10389.03,9545.737,15828.21,14998.46,16622.29,8319.374,8662.21,10192.7,0.9819549999999992
236,10206.66,9408.338,15740.32,14956.33,16484.51,8204.444,8567.223,10000.93,0.9843789999999992
237,10020.72,9269.142,15648.12,14909.74,16338.75,8086.187,8471.758,9807.125,0.9893759999999991
238,9836.629,9131.536,15546.19,14853.25,16189.29,7966.438,8370.944,9615.354,0.9919649999999992
239,9655.744,8994.174,15434.39,14785.02,16036.96,7847.775,8266.438,9426.646,0.9943749999999992
240,9473.559,8853.573,15318.8,14710.7,15877.81,7729.494,8163.931,9236.7,0.9969579999999991
241,9288.787,8711.422,15200.9,14633.44,15710.77,7608.928,8062.447,9043.875,0.9989559999999992
242,9105.82,8571.271,15075.02,14548.3,15540.18,7485.452,7954.583,8852.127,1.0093809999999992
243,8925.625,8430.157,14939.07,14451.75,15368.09,7360.183,7838.634,8663.174,1.0119579999999992
244,8743.713,8283.345,14799.06,14348.93,15191.03,7233.676,7722.346,8473.537,1.0149919999999992
245,8559.111,8134.288,14658.8,14245.07,15007.33,7106.04,7610.682,8282.2,1.0149959999999991
246,8376.378,7989.593,14513.71,14136.65,14821.03,6978.15,7498.424,8093.481,1.0169499999999991
247,8197.532,7847.935,14360.0,14018.75,14634.84,6851.578,7381.016,7909.163,1.0199889999999991
248,8019.195,7703.623,14202.45,13894.79,14445.75,6726.855,7263.307,7725.102,1.0199919999999991
249,7838.754,7556.506,14045.61,13770.25,14250.85,6601.915,7148.889,7538.461,1.0219529999999992
250,7658.968,7411.166,13885.52,13642.6,14052.8,6474.785,7032.513,7353.141,1.024998999999999
251,7483.207,7268.419,13717.73,13506.63,13855.42,6346.929,6910.876,7173.833,1.0250039999999991
